"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MITOTIC_SPINDLE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYOGENESIS","HALLMARK_PROTEIN_SECRETION","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_COMPLEMENT","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_DN","HALLMARK_ANGIOGENESIS","HALLMARK_HEME_METABOLISM","HALLMARK_COAGULATION","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PEROXISOME","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_SPERMATOGENESIS","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_PANCREAS_BETA_CELLS"
"1","JUNB","PGK1","FDPS","ARHGEF2","MYC","TGFBR1","IL4R","POLR2H","AURKA","CASP3","JAG1","FABP4","GREB1","TFF1","KLK3","ACTA1","ARCN1","MX1","STAT1","ACTN1","B4GALT1","SHH","C2","ATF4","MAPK8","FADS1","AURKA","PCNA","SLC19A1","COL3A1","CXCL10","CYP1A1","ACAA1","NDUFS3","PGK1","GSR","CDKN1A","NXF1","TJP1","VCAN","ALAS2","F2","SOCS2","SCP2","ABCD3","PTPRC","PDHA2","ANGPTL4","CDH16","PAX6"
"2","CXCL2","PDK1","CYP51A1","CLASP1","CTNNB1","SMAD7","IL6ST","POLR2A","CCNA2","CASP9","NOTCH3","ADIPOQ","CA12","SLC9A3R1","KLK2","TNNI2","TMED10","ISG15","ISG15","CLDN7","RHCG","PTCH1","C1S","HERPUD1","PIK3R3","DDIT4","BRCA2","PSMD8","MRTO4","COL5A2","CCL2","FAH","ACAA2","UQCRB","ALDOA","PRDX2","BTG2","SLC6A8","NFIB","POSTN","PPOX","PROC","CISH","ABCD3","ACOT8","IL12B","TSSK2","ITGA2","SPTBN2","NEUROD1"
"3","ATF3","GBE1","IDI1","KIF11","JAG2","TGFB1","STAT1","POLR2G","TOP2A","DFFA","NOTCH2","PPARG","SLC9A3R1","TPD52L1","ACSL3","MYL1","COPB2","OAS1","IFIT1","ACTN3","MAL","NRCAM","CFB","PARN","GRB2","CALR","CCP110","PSMD7","TMEM97","COL5A1","CCL5","DCXR","ACADL","NDUFS2","ENO1","TXNRD1","MDM2","BAK1","TGFBR3","FSTL1","FECH","C1S","PIM1","SLC27A2","ACOX1","TGFB1","TNP1","SPRY2","FGFR3","ISL1"
"4","NFKBIA","PFKL","FDFT1","KIF23","NOTCH1","SMURF2","IL1R1","POLR2E","CCNB2","CASP7","APH1A","LIPE","MYB","PRSS23","PIAS1","TNNC1","RAB14","IFIT3","MX1","CLDN19","LYPD3","NRP1","C1R","EXOSC4","NFKBIB","HK2","CENPE","SET","RRP9","FBN1","FPR1","CYP1A2","ACADM","SDHA","TPI1","SOD1","CCNG1","CDC5L","TFPI","LRPAP1","HMBS","MMP14","IL2RA","HSD3B7","ACSL1","IL12A","ZPBP","HBEGF","NOS1","NKX2-2"
"5","TNFAIP3","ALDOA","DHCR7","ALS2","DLL1","SMURF1","CSF2RB","POLR2J","CENPA","CFLAR","HES1","DGAT1","ANXA9","CA12","CAMKK2","TNNC2","ATP7A","IFI44","IFIT3","DLG1","PKHD1","SCG2","SERPINE1","HSP90B1","MAP2K6","PGK1","CKS2","SNRPA1","PES1","COL1A1","CCL20","GSTA3","ACOT8","UQCRC1","PFKP","GCLC","FAS","HSPA2","MMP16","STC1","GYPB","F10","TNFRSF4","HSD17B4","ECH1","CD3E","DPEP3","RBP4","PDE6B","PCSK1"
"6","PTGS2","ENO2","SQLE","ARF6","AXIN2","BMPR2","SOCS3","POLR2F","BIRC5","BIRC3","CCND1","LPL","IGFBP4","PDZK1","NKX3-1","MYH3","COPB1","IFI35","IFI35","TJP1","ATP6V0A4","AMOT","MMP14","XBP1","MAPK9","SLC7A5","DCLRE1B","RAN","TFB2M","FN1","IL1A","CYP2J2","ACOX1","NDUFA9","ERO1A","CAT","TOB1","POLR2H","ABCC1","LPL","ALAD","PLG","SOCS1","AKR1D1","ECI2","CD3D","ADAM2","HSD11B1","SIDT1","NKX6-1"
"7","CXCL1","PGM1","HMGCS1","MYO9B","PSEN2","SKIL","STAT3","POLR2C","CDC20","PMAIP1","FZD1","CPT2","SYBU","ANXA9","TMPRSS2","MYL11","LAMP2","IRF7","IRF7","COL17A1","CRYBG1","UNC5C","SERPING1","EXOSC9","AKT1","CTSC","DNMT1","SRSF2","EXOSC5","COL6A3","CXCL8","CYP27A1","ACSL1","NDUFS4","ALDOB","GPX4","GADD45A","ALAS1","MAP2K5","VEGFA","RHD","C1R","TNFRSF9","ABCD2","EHHADH","CD28","ACTL7B","ETV4","NTF3","SLC2A2"
"8","IER3","NDRG1","NSDHL","MYH9","FZD1","SKI","OSMR","POLR2K","PLK1","CASP8","PSEN2","CD36","NPY1R","CELSR2","APPBP2","TNNT3","EGFR","RSAD2","IFIT2","NECTIN1","SHROOM2","ADGRG1","CTSL","HSPA5","MAPK1","ACSL3","DONSON","G3BP1","IPO4","SERPINE1","CCL7","ADH1C","ALDH3A2","NDUFS1","VEGFA","MPO","PHLDA3","TUBA4A","AGGF1","PF4","GYPA","SERPINE1","XBP1","PEX1","GSTK1","LYN","GAPDHS","GLRX","SCN10A","SEC11A"
"9","CD83","HK2","LSS","TUBGCP3","NOTCH4","ACVR1","IL2RG","GTF2H3","TTK","JUN","FZD7","GPAM","PDZK1","TJP3","CENPN","TNNT2","IGF2R","IFI44L","OAS2","CLDN9","SRPX","HEY1","F5","ATF3","PLCG1","SLC1A5","EED","STARD7","NDUFAF4","COL1A2","CCL22","UGDH","MIX23","NDUFA2","MXI1","PRDX1","TAP1","C4BPB","PLCB4","THBD","SELENBP1","SERPING1","RRAGD","CYP8B1","HSD17B4","HCLS1","TUBA3C","DUSP6","TAS2R4","DCX"
"10","CCL20","ALDOC","MVD","CKAP5","LEF1","PMEPA1","IFNGR1","POLR2D","PRC1","BCL2L11","DTX1","ADIPOR2","NRIP1","PGR","BMPR1B","CASQ2","COPE","IFITM1","TAP1","CDH3","MDGA1","GLI1","MMP13","EXOSC1","TRIB3","M6PR","GINS1","NPM1","NOC4L","COL4A1","CXCL11","ASL","CPT2","NDUFS8","PKM","PRDX6","CDKN2B","CCNE1","MET","FGFR1","BLVRB","C2","HK2","PNPLA8","MLYCD","IL18","LDHC","SCG5","DTNB","SPCS1"
